,precision,recall,f1-score,support
information--pedestrians-crossing--g1,0.0,0.0,0.0,21.0
other-sign,0.0,0.0,0.0,49.0
regulatory--no-entry--g1,0.0,0.0,0.0,17.0
regulatory--stop--g1,0.12280701754385964,0.9333333333333333,0.21705426356589147,15.0
regulatory--yield--g1,0.0,0.0,0.0,17.0
accuracy,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
macro avg,0.02456140350877193,0.18666666666666668,0.043410852713178294,119.0
weighted avg,0.015479876160990712,0.11764705882352941,0.027359781121751026,119.0
